id1	id2	k_ibd1	k_ibd2	most_probable	probability	degree
15001007	15553003	0.0089	0.0	4th	0.9999978010342703	4th
15001007	15154003	0.0136	0.0	4th	0.9999968555155314	4th
15001007	15166006	0.0073	0.0	4th	0.9999980531172602	4th
15001007	15166008	0.0062	0.0	4th	0.9999982094530858	4th
15001007	15154001	0.0097	0.0	4th	0.9999976630049692	4th
15001007	15041005	0.0096	0.0	4th	0.9999976807216543	4th
15001007	15411002	0.0074	0.0	4th	0.9999980382452544	4th
15001007	15357001	0.0141	0.0	4th	0.9999967335650153	4th
15001007	15199003	0.0084	0.0	4th	0.9999978831315056	4th
15001007	15127004	0.0157	0.0	4th	0.9999963106266154	4th
15001007	15553001	0.0106	0.0	4th	0.9999974973389859	4th
15001007	15197002	0.0125	0.0	4th	0.9999971080191998	4th
15001007	15547001	0.0113	0.0	4th	0.9999973604102502	4th
15001007	15041009	0.0079	0.0	4th	0.9999979621636899	4th
15001007	15041003	0.0106	0.0	4th	0.9999974973389859	4th
15001007	15147002	0.0228	0.0	4th	0.9999936671233446	4th
15001007	15001013	0.0121	0.0	4th	0.9999971947230125	4th
15001007	15238003	0.0073	0.0	4th	0.9999980531172602	4th
15001007	15328002	0.0086	0.0	4th	0.9999978506669731	4th
15001007	15552004	0.0137	0.0	4th	0.9999968314952172	4th
15001007	15006027	0.0052	0.0	4th	0.999998340655628	4th
15001007	15040019	0.0091	0.0	4th	0.9999977673106881	4th
15001007	15041001	0.0116	0.0	4th	0.9999972994565004	4th
15001007	15166005	0.009	0.0	4th	0.9999977842366367	4th
15001007	15219002	0.0085	0.0	4th	0.9999978669610015	4th
15001007	15547002	0.0109	0.0	4th	0.9999974395472041	4th
15001008	15537009	0.0129	0.0	4th	0.999997018635606	4th
15001008	15161013	0.0127	0.0	4th	0.999997063667493	4th
15001008	15147003	0.0111	0.0	4th	0.9999974002798306	4th
15001008	15199002	0.0098	0.0	4th	0.9999976451529489	4th
15001008	15040016	0.006	0.0	4th	0.9999982364983544	4th
15001008	15041048	0.0101	0.0	4th	0.9999975907744986	4th
15001008	15369006	0.0072	0.0	4th	0.9999980678765222	4th
15001008	15254002	0.0057	0.0	4th	0.9999982763022446	4th
15001008	15373003	0.0056	0.0	4th	0.9999982893695504	4th
15001008	15386002	0.0086	0.0	4th	0.9999978506669731	4th
15001008	15553003	0.0089	0.0	4th	0.9999978010342703	4th
15001008	15537008	0.0155	0.0	4th	0.9999963663525542	4th
15001008	15043015	0.0045	0.0	4th	0.9999984267342084	4th
15001008	15540002	0.0105	0.0018	4th	0.9999973900361772	4th
15001008	15411002	0.0158	0.0	4th	0.9999962824439801	4th
15001008	15386001	0.0078	0.0	4th	0.9999979776124668	4th
15001008	15426001	0.0108	0.0	4th	0.9999974589579111	4th
15001008	15199003	0.0084	0.0	4th	0.9999978831315056	4th
15001008	15003015	0.0071	0.0	4th	0.9999980825238948	4th
15001008	15127004	0.0123	0.0	4th	0.9999971517010002	4th
15001008	15553001	0.0087	0.0	4th	0.9999978342484768	4th
15001008	15537020	0.0098	0.0	4th	0.9999976451529489	4th
15001008	15537022	0.0135	0.0	4th	0.9999968793537493	4th
15001008	15197002	0.0077	0.0	4th	0.9999979929441272	4th
15001008	15254050	0.0044	0.0	4th	0.9999984386610954	4th
15001008	15197003	0.0051	0.0	4th	0.9999983532350736	4th
15001008	15254052	0.0084	0.0	4th	0.9999978831315056	4th
15001008	15538001	0.0076	0.0	4th	0.9999980081595589	4th
15001008	15041003	0.0106	0.0	4th	0.9999974973389859	4th
15001008	15147002	0.0124	0.0	4th	0.9999971299432023	4th
15001008	15043016	0.0108	0.0	4th	0.9999974589579111	4th
15001008	15186002	0.0054	0.0	4th	0.999998315207725	4th
15001008	15238003	0.0101	0.0	4th	0.9999975907744986	4th
15001008	15328007	0.0149	0.0	4th	0.9999965285307937	4th
15001008	15297001	0.0184	0.0	4th	0.9999954690926786	4th
15001008	15532007	0.0093	0.0	4th	0.9999977330699186	4th
15001008	15186004	0.006	0.0	4th	0.9999982364983544	4th
15001008	15540001	0.0096	0.0	4th	0.9999976807216543	4th
15001008	15006027	0.0073	0.0	4th	0.9999980531172602	4th
15001008	15373001	0.006	0.0	4th	0.9999982364983544	4th
