id1 id2 k_ibd1 k_ibd2 n predicted_degree most_probable probability
HMB013 HMB102 0.2216 0.0 60.0 4th 4th 0.7605131271234905
HMB013 HMB312 0.2716 0.0022 66.0 3rd 3rd 0.830799024693265
HMB013 HMB318 0.2784 0.0047 64.0 3rd 3rd 0.880879664986189
HMB013 HMB330 0.2339 0.0013 57.0 4th 4th 0.6147671022436608
HMB013 HMB387 0.2446 0.0041 49.0 3rd 3rd 0.539527853571503
HMB013 HMB419 0.1813 0.004 48.0 4th 4th 0.9635670593110774
HMB013 HMB699 0.6038 0.0114 53.0 2nd PHS 0.8112980646733249
HMB013 HMB1037 0.5769 0.0156 59.0 2nd HS 0.9995379298718915
HMB013 HMB1051 0.6013 0.0043 57.0 2nd HS 0.9999785460486892
HMB013 HMB2196 0.3177 0.0177 53.0 3rd 3rd 0.9870771011150222
HMB013 HMB2982 0.4023 0.006 50.0 3rd 3rd 0.8730637252420027
HMB013 HMB2987 0.3224 0.0055 50.0 3rd 3rd 0.987834172394661
HMB013 HMB2990 0.2494 0.0022 53.0 3rd 3rd 0.5957217335401093
HMB013 HMB2991 0.5288 0.0115 50.0 2nd MGP 0.8799917983408696
HMB013 HMB3047 0.1878 0.0 51.0 4th 4th 0.9520314343397632
HMB013 HMB3048 0.2251 0.0012 49.0 4th 4th 0.720338927566078
HMB013 HMB3070 0.5432 0.0181 56.0 2nd HS 0.999979917483922
HMB013 HMB3097 0.5377 0.0133 52.0 2nd PHS 0.8883846415868872
HMB013 HMB5087 0.6325 0.002 59.0 2nd HS 0.9999985350888199
HMB014 HMB017 0.5144 0.0013 60.0 2nd GPAV 0.9998043210218255
HMB014 HMB020 0.9851 0.0134 23.0 PO PO 1.0
HMB014 HMB022 0.5207 0.23 55.0 FS FS 1.0
HMB014 HMB050 0.4729 0.0095 43.0 2nd PHS 0.9935803476543227
HMB014 HMB098 0.529 0.0057 64.0 2nd AV 0.9723579182770159
HMB014 HMB308 0.5573 0.177 59.0 FS FS 0.9999999808959624
HMB014 HMB355 0.4747 0.0105 69.0 2nd AV 0.9949294978856106
HMB014 HMB446 0.5365 0.0051 62.0 2nd MHS 0.8422949108776132
HMB014 HMB499 0.2924 0.0 53.0 3rd 3rd 0.9360218521746206
HMB014 HMB972 0.5537 0.2069 56.0 FS FS 1.0
HMB014 HMB975 0.5384 0.2263 52.0 FS FS 1.0
HMB014 HMB1028 0.2066 0.0011 44.0 4th 4th 0.8755341583666145
HMB014 HMB1033 0.3241 0.0035 51.0 3rd 3rd 0.988524705679825
HMB014 HMB2274 0.3983 0.0 59.0 3rd 3rd 0.9241351204539947
HMB014 HMB2925 0.3215 0.0 53.0 3rd 3rd 0.9860636821546439
HMB014 HMB2983 0.2512 0.0 42.0 3rd 3rd 0.6104842344977145
HMB014 HMB2984 0.2638 0.0019 34.0 3rd 3rd 0.7619693194856374
HMB014 HMB2985 0.2491 0.0041 41.0 3rd 3rd 0.5992692950835493
HMB014 HMB3110 0.5636 0.013 53.0 2nd PHS 0.8403129165376102
HMB014 HMB5058 0.1934 0.0026 53.0 4th 4th 0.9335155352173619
HMB015 HMB119 0.9813 0.0179 22.0 PO PO 1.0
HMB016 HMB031 0.3031 0.0 62.0 3rd 3rd 0.9631428767363295
HMB016 HMB049 0.9894 0.0092 22.0 PO PO 1.0
HMB016 HMB301 0.6223 0.0 36.0 2nd GP 0.9999868356768887
HMB016 HMB812 0.3505 0.0063 53.0 3rd 3rd 0.9967828725222845
HMB016 HMB871 0.1803 0.0011 44.0 4th 4th 0.966969247468779
HMB016 HMB2167 0.1921 0.0073 49.0 4th 4th 0.9331270458418842
HMB016 HMB2943 0.3183 0.0 53.0 3rd 3rd 0.9834775200127283
HMB016 HMB3089 0.2021 0.0063 48.0 4th 4th 0.8918611660634675
HMB016 HMB3090 0.2079 0.0028 46.0 4th 4th 0.8644283459740345
HMB016 HMB3092 0.218 0.0 43.0 4th 4th 0.7942405153030933
HMB016 HMB3093 0.2094 0.0 50.0 4th 4th 0.8601997955399774
HMB016 HMB3096 0.9911 0.0072 22.0 PO PO 1.0
HMB016 HMB3097 0.9827 0.0173 23.0 PO PO 1.0
HMB016 HMB3098 0.5269 0.0053 61.0 2nd HS 0.9979465559427383
HMB016 HMB3100 0.1886 0.0012 46.0 4th 4th 0.9490728086093432
HMB016 HMB5081 0.5818 0.0071 65.0 2nd MHS 0.8595915440147456
HMB017 HMB020 0.495 0.0078 34.0 2nd PGP 0.8412850057389253
HMB017 HMB022 0.5079 0.0029 71.0 2nd AV 0.9992367221685894
HMB017 HMB050 0.3393 0.0075 56.0 3rd 3rd 0.9950801003280456
HMB017 HMB098 0.5665 0.009 50.0 2nd PHS 0.9404955742559331
HMB017 HMB146 0.9772 0.0206 22.0 PO PO 1.0
HMB017 HMB308 0.9822 0.0147 22.0 PO PO 1.0
HMB017 HMB355 0.4756 0.0058 68.0 2nd MHS 0.9754314125515133
HMB017 HMB446 0.2406 0.0018 41.0 4th 4th 0.5239752736476477
HMB017 HMB972 0.5006 0.0016 63.0 2nd AV 0.9533559606297571
HMB017 HMB975 0.4734 0.0 66.0 2nd AV 0.9847563416412024
HMB017 HMB1033 0.2044 0.0026 47.0 4th 4th 0.885501748542518
HMB017 HMB2274 0.5438 0.0 55.0 2nd GPAV 0.9977674579208178
HMB017 HMB2901 0.2314 0.0041 50.0 4th 4th 0.6358115477629214
HMB017 HMB2902 0.2624 0.0 52.0 3rd 3rd 0.7420375333966599
HMB017 HMB2925 0.1861 0.0018 41.0 4th 4th 0.954818690255416
HMB017 HMB2983 0.2013 0.0026 47.0 4th 4th 0.9014703532269506
HMB017 HMB2984 0.2067 0.0 50.0 4th 4th 0.8768937586065604
HMB017 HMB2985 0.1773 0.0053 48.0 4th 4th 0.9698459356210208
HMB017 HMB3110 0.3707 0.0 62.0 3rd 3rd 0.9947616750451229
HMB017 HMB5058 0.1794 0.0 51.0 4th 4th 0.9690361221679834
HMB017 HMB5176 0.5362 0.0059 45.0 2nd PHS 0.9901726723174799
HMB020 HMB022 0.9905 0.0071 22.0 PO PO 1.0
HMB020 HMB098 0.5401 0.008 39.0 2nd GP 0.9999387886000266
HMB020 HMB308 0.9835 0.0151 22.0 PO PO 1.0
HMB020 HMB355 0.5773 0.0063 53.0 2nd MGP 0.8383431805468483
HMB020 HMB446 0.9769 0.022 23.0 PO PO 1.0
HMB020 HMB499 0.4646 0.0077 37.0 2nd GP 0.9578781076050424
HMB020 HMB750 0.3277 0.0224 55.0 3rd 3rd 0.9925955114508965
HMB020 HMB972 0.9822 0.0166 24.0 PO PO 1.0
HMB020 HMB975 0.9804 0.0166 23.0 PO PO 1.0
HMB020 HMB1028 0.3399 0.0116 35.0 3rd 3rd 0.9954752724680265
HMB020 HMB1033 0.6138 0.0238 34.0 2nd GP 0.998817078957669
HMB020 HMB2274 0.4891 0.0011 41.0 2nd GP 0.8074782621640828
HMB020 HMB2901 0.318 0.0 55.0 3rd 3rd 0.9832118773060502
HMB020 HMB2902 0.2984 0.0011 42.0 3rd 3rd 0.9537495113779664
HMB020 HMB2925 0.5047 0.0061 36.0 2nd GP 0.9996501089464274
HMB021 HMB023 0.9871 0.0123 22.0 PO PO 1.0
HMB021 HMB099 0.2531 0.0 51.0 3rd 3rd 0.6346833435535799
HMB021 HMB100 0.2734 0.0023 58.0 3rd 3rd 0.8442931209022432
HMB021 HMB116 0.2415 0.0029 60.0 4th 4th 0.5073049125579423
HMB021 HMB118 0.2456 0.0136 44.0 3rd 3rd 0.5909123340372792
HMB021 HMB155 0.53 0.01 52.0 2nd PHS 0.8900526102298226
